tag	name	vr	vm	is_retired
(0014,0032)	Material Pipe Diameter	DS	1-n	false
(0014,0034)	Material Isolation Diameter	DS	1-n	false
(0014,0042)	Material Grade	ST	1	false
(0014,0044)	Material Properties Description	ST	1	false
(0014,0045)	Material Properties File Format (Retired)	ST	1	true
(0014,0046)	Material Notes	LT	1	false
(0014,0050)	Component Shape	CS	1	false
(0014,0052)	Curvature Type	CS	1	false
(0014,0054)	Outer Diameter	DS	1	false
(0014,0056)	Inner Diameter	DS	1	false
(0014,0100)	Component Welder IDs	LO	1-n	false
(0014,0101)	Secondary Approval Status	CS	1	false
(0014,0102)	Secondary Review Date	DA	1	false
(0014,0103)	Secondary Review Time	TM	1	false
(0014,0104)	Secondary Reviewer Name	PN	1	false
(0014,0105)	Repair ID	ST	1	false
(0014,0106)	Multiple Component Approval Sequence	SQ	1	false
(0014,0107)	Other Approval Status	CS	1-n	false
(0014,0108)	Other Secondary Approval Status	CS	1-n	false
(0014,0200)	Data Element Label Sequence	SQ	1	false
(0014,0201)	Data Element Label Item Sequence	SQ	1	false
(0014,0202)	Data Element	AT	1	false
(0014,0203)	Data Element Name	LO	1	false
(0014,0204)	Data Element Description	LO	1	false
(0014,0205)	Data Element Conditionality	CS	1	false
(0014,0206)	Data Element Minimum Characters	IS	1	false
(0014,0207)	Data Element Maximum Characters	IS	1	false
(0014,1010)	Actual Environmental Conditions	ST	1	false
(0014,1020)	Expiry Date	DA	1	false
(0014,1040)	Environmental Conditions	ST	1	false
(0014,2002)	Evaluator Sequence	SQ	1	false
(0014,2004)	Evaluator Number	IS	1	false
(0014,2006)	Evaluator Name	PN	1	false
(0014,2008)	Evaluation Attempt	IS	1	false
(0014,2012)	Indication Sequence	SQ	1	false
(0014,2014)	Indication Number	IS	1	false
(0014,2016)	Indication Label	SH	1	false
(0014,2018)	Indication Description	ST	1	false
(0014,201A)	Indication Type	CS	1-n	false
(0014,201C)	Indication Disposition	CS	1	false
(0014,201E)	Indication ROI Sequence	SQ	1	false
(0014,2030)	Indication Physical Property Sequence	SQ	1	false
(0014,2032)	Property Label	SH	1	false
(0014,2202)	Coordinate System Number of Axes	IS	1	false
(0014,2204)	Coordinate System Axes Sequence	SQ	1	false
(0014,2206)	Coordinate System Axis Description	ST	1	false
(0014,2208)	Coordinate System Data Set Mapping	CS	1	false
(0014,220A)	Coordinate System Axis Number	IS	1	false
(0014,220C)	Coordinate System Axis Type	CS	1	false
(0014,220E)	Coordinate System Axis Units	CS	1	false
(0014,2210)	Coordinate System Axis Values	OB	1	false
(0014,2220)	Coordinate System Transform Sequence	SQ	1	false
(0014,2222)	Transform Description	ST	1	false
(0014,2224)	Transform Number of Axes	IS	1	false
(0014,2226)	Transform Order of Axes	IS	1-n	false
(0014,2228)	Transformed Axis Units	CS	1	false
(0014,222A)	Coordinate System Transform Rotation and Scale Matrix	DS	1-n	false
(0014,222C)	Coordinate System Transform Translation Matrix	DS	1-n	false
(0014,3011)	Internal Detector Frame Time	DS	1	false
(0014,3012)	Number of Frames Integrated	DS	1	false
(0014,3020)	Detector Temperature Sequence	SQ	1	false
(0014,3022)	Sensor Name	ST	1	false
(0014,3024)	Horizontal Offset of Sensor	DS	1	false
(0014,3026)	Vertical Offset of Sensor	DS	1	false
(0014,3028)	Sensor Temperature	DS	1	false
(0014,3040)	Dark Current Sequence	SQ	1	false
(0014,3050)	Dark Current Counts	OB or OW	1	false
(0014,3060)	Gain Correction Reference Sequence	SQ	1	false
(0014,3070)	Air Counts	OB or OW	1	false
(0014,3071)	KV Used in Gain Calibration	DS	1	false
(0014,3072)	MA Used in Gain Calibration	DS	1	false
(0014,3073)	Number of Frames Used for Integration	DS	1	false
(0014,3074)	Filter Material Used in Gain Calibration	LO	1	false
(0014,3075)	Filter Thickness Used in Gain Calibration	DS	1	false
(0014,3076)	Date of Gain Calibration	DA	1	false
(0014,3077)	Time of Gain Calibration	TM	1	false
(0014,3080)	Bad Pixel Image	OB	1	false
(0014,3099)	Calibration Notes	LT	1	false
(0014,3100)	Linearity Correction Technique	LT	1	false
(0014,3101)	Beam Hardening Correction Technique	LT	1	false
(0014,4002)	Pulser Equipment Sequence	SQ	1	false
(0014,4004)	Pulser Type	CS	1	false
(0014,4006)	Pulser Notes	LT	1	false
(0014,4008)	Receiver Equipment Sequence	SQ	1	false
(0014,400A)	Amplifier Type	CS	1	false
(0014,400C)	Receiver Notes	LT	1	false
(0014,400E)	Pre-Amplifier Equipment Sequence	SQ	1	false
(0014,400F)	Pre-Amplifier Notes	LT	1	false
(0014,4010)	Transmit Transducer Sequence	SQ	1	false
(0014,4011)	Receive Transducer Sequence	SQ	1	false
(0014,4012)	Number of Elements	US	1	false
(0014,4013)	Element Shape	CS	1	false
(0014,4014)	Element Dimension A	DS	1	false
(0014,4015)	Element Dimension B	DS	1	false
